url,Property ID,Locality name,Postal code,Subtype of property,Open Fire,Price,Construction year,Building condition,Outdoor parking spaces,Living area,Kitchen type,Bedrooms,Bathrooms,Terrace surface,Elevator,Energy class,Heating type,Double glazing,Flood zone type,Tenement building,Furnished,Surface of the plot,Garden surface,Number of frontages,Swimming pool,Accessible for disabled people,Covered parking spaces,Shower rooms
https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/11079381,11079381,willebroek,2830,apartment,0.0,"205,000",2008,Good,1,65,Hyperequipped,1,1,5,Yes,B,Gas,Yes,Nonfloodzone,No,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/lubbeek/3210/10979572,10979572,lubbeek,3210,apartment,0.0,"270,000",1980,Good,,142,Installed,3,1,,,B,Gas,Yes,Nonfloodzone,No,,,,3,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11135516,11135516,gent,9000,apartment,0.0,"346,500",2018,Asnew,1,88,USAhyperequipped,1,1,22,Yes,A,Gas,Yes,Nonfloodzone,No,Yes,,,2,No,No,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11135562,11135562,bruxelles,1000,apartment,0.0,"499,000",2016,Good,1,85,USAhyperequipped,2,1,7,Yes,B,Gas,Yes,Nonfloodzone,No,No,,,2,No,Yes,,1
https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/11135758,11135758,ganshoren,1083,apartment,0.0,"179,000",1967,Torenovate,,75,Semiequipped,2,1,18,Yes,D,Fueloil,,Nonfloodzone,No,No,,,2,No,No,,
https://www.immoweb.be/en/classified/apartment/for-sale/schoten/2900/11136533,11136533,schoten,2900,apartment,0.0,"295,000",1997,Good,,110,Installed,2,1,6,Yes,B,Gas,Yes,Possiblefloodzone,No,,,,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/11050812,11050812,antwerp,2018,apartment,0.0,"249,900",1965,Asnew,,78,Installed,2,1,,Yes,B,Fueloil,Yes,Nonfloodzone,No,No,,,,No,No,,1
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11133918,11133918,bruxelles,1000,apartment,0.0,"265,000",2013,Good,,63,USAhyperequipped,1,1,7,Yes,C,Gas,Yes,Nonfloodzone,No,,,,4,No,No,,
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/11134766,11134766,mortsel,2640,apartment,0.0,"299,000",1976,Tobedoneup,,140,Semiequipped,3,1,,,D,Fueloil,Yes,Nonfloodzone,No,,,,,,,1,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11133706,11133706,gent,9000,apartment,0.0,"356,500",2018,Asnew,1,91,USAhyperequipped,1,1,16,Yes,A,Gas,Yes,Nonfloodzone,No,Yes,,,2,No,No,,
